NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Redfort Restaurant,300,"North Indian,Chinese",Chennai,Chengalpattu,https://www.zomato.com/chennai/redfort-restaurant-chengalpattu/info,220,Casual Dining,11am to 11pm(Mon-Sun),Not rated,-,-
Sri Saikarthi Andhra Mess,300,"South Indian,Andhra",Chennai,Kodambakkam,https://www.zomato.com/chennai/sri-saikarthi-andhra-mess-kodambakkam/info,220,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Snacky Seconds,200,South Indian,Chennai,Porur,https://www.zomato.com/chennai/snacky-seconds-porur/info,220,Quick Bites,10am to 9pm(Mon-Sun),Not rated,-,-
T'wos The Wizard Of Sau-Oz,300,"Fast Food,Sandwich",Chennai,Mylapore,https://www.zomato.com/chennai/twos-the-wizard-of-sau-oz-mylapore/info,220,Quick Bites,11am to 10pm(Mon-Sun),None,NEW,NEW
Royel Burger,200,"Fast Food,Burger",Chennai,Gopalapuram,https://www.zomato.com/chennai/royel-burger-gopalapuram/info,220,Quick Bites,3pm to 1030pm(Mon-Sun),Not rated,-,-
Hotel Raj Palace Sundar,700,"South Indian,North Indian,Chinese",Chennai,RA Puram,https://www.zomato.com/chennai/hotel-raj-palace-sundar-ra-puram/info,220,Casual Dining,"12noon to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
Dhabba Express,500,"North Indian,Chinese",Chennai,Kolathur,https://www.zomato.com/chennai/dhabba-express-kolathur/info,220,Quick Bites,"11am to 330pm,630pm to 11pm(Mon-Sun)",Not rated,-,-
Aroma,600,"Continental,South Indian,North Indian,Chinese",Chennai,Pallavaram,https://www.zomato.com/chennai/aroma-pallavaram/info,137,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,22
Murukku Meesai Mundasukatti Biriyani,400,"Biryani,South Indian",Chennai,Madipakkam,https://www.zomato.com/chennai/murukku-meesai-mundasukatti-biriyani-madipakkam/info,137,none,11am to 11pm(Mon-Sun),Average,2.8,21
Manna Restaurant,450,"Biryani,Chinese",Chennai,GST Road,https://www.zomato.com/chennai/manna-restaurant-gst-road/info,137,Casual Dining,"12noon to 4pm,6pm to 1030pm(Mon-Sun)",Average,3.3,32
Udipi Snack Bar,150,South Indian,Chennai,Nungambakkam,https://www.zomato.com/chennai/udipi-snack-bar-1-nungambakkam/info,137,Quick Bites,8am to 7pm(Mon-Sun),Average,3.3,17
Top Aappa Kadaai,300,"South Indian,Biryani,Sri Lankan",Chennai,Anna Nagar East,https://www.zomato.com/chennai/top-aappa-kadaai-anna-nagar-east/info,137,Quick Bites,"11am to 4pm,6pm to 11pm(Mon-Sun)",Average,2.9,14
Arabian Oyster Restaurant,450,"North Indian,Chinese",Chennai,Maduravoyal,https://www.zomato.com/chennai/arabian-oyster-restaurant-maduravoyal/info,137,Quick Bites,11am to 11pm(Mon-Sun),Average,2.8,26
Take A Bite,350,"Burger,Sandwich,Fast Food,Beverages",Chennai,Taramani,https://www.zomato.com/chennai/take-a-bite-taramani/info,137,Quick Bites,"4pm to 10pm(Mon),11am to 10pm(Tue-Sun)",Average,3.4,22
Kasthuri Bakery,150,"Bakery,Street Food",Chennai,Besant Nagar,https://www.zomato.com/chennai/kasthuri-bakery-besant-nagar/info,137,none,10am to 1030pm(Mon-Sun),Good,3.5,15
Crispy Roosters,250,"Pizza,Fast Food",Chennai,Ramapuram,https://www.zomato.com/chennai/crispy-roosters-2-ramapuram/info,137,Quick Bites,"Closed(Mon),1130am to 11pm(Tue,Wed,Thu,Fri...",Good,3.7,17
The Red Box,400,Chinese,Chennai,Alwarpet,https://www.zomato.com/chennai/the-red-box-1-alwarpet/info,137,Kiosk,12noon to 11pm(Mon-Sun),Good,3.6,20
Rajugari's Ruchulu,300,Andhra,Chennai,Padur,https://www.zomato.com/chennai/rajugaris-ruchulu-padur/info,137,none,11am to 1030pm(Mon-Sun),Average,3.2,24
Atho Hut,300,Burmese,Chennai,Kolathur,https://www.zomato.com/chennai/atho-hut-kolathur/info,137,Quick Bites,530pm to 930pm(Mon-Sun),Average,3.2,24
SLB Cake House,200,"Bakery,Street Food",Chennai,Alandur,https://www.zomato.com/chennai/slb-cake-house-alandur/info,137,Bakery,8am to 11pm(Mon-Sun),Average,3.3,20
Hotel Adupankarai,400,"South Indian,Chinese",Chennai,Porur,https://www.zomato.com/chennai/hotel-adupankarai-porur/info,137,Casual Dining,9am to 11pm(Mon-Sun),Good,3.6,27
Atho Spot,150,"Street Food,Burmese",Chennai,Ramapuram,https://www.zomato.com/chennai/atho-spot-ramapuram/info,137,Quick Bites,6pm to 1030pm(Mon-Sun),Average,3.1,20
Cone Fusion,300,"Desserts,Pizza,Ice Cream",Chennai,OMR Food Street-- Kandanchavadi,https://www.zomato.com/chennai/cone-fusion-perungudi/info,223,Quick Bites,4pm to 11pm(Mon-Sun),Not rated,-,-
Sweet Nothings,200,Desserts,Chennai,Alwarpet,https://www.zomato.com/chennai/sweet-nothings-alwarpet/info,223,Dessert Parlor,10am to 7pm(Mon-Sun),Not rated,-,-
Ultra Fruit Cane Corner,100,Juices,Chennai,Perungudi,https://www.zomato.com/chennai/ultra-fruit-cane-corner-perungudi/info,223,Kiosk,11am to 11pm(Mon-Sun),Not rated,-,-
Sonal's Cake Delights,300,Bakery,Chennai,Aminijikarai,https://www.zomato.com/chennai/sonals-cake-delights-aminijikarai/info,223,Bakery,10am to 8pm(Mon-Sun),Not rated,-,-
C Square Cafe,150,"Bakery,Desserts",Chennai,Purasavakkam,https://www.zomato.com/chennai/c-square-cafe-purasavakkam/info,223,Bakery,1pm to 7pm(Mon-Sun),Not rated,-,-
Lil Delights,300,Bakery,Chennai,Nungambakkam,https://www.zomato.com/chennai/lil-delights-nungambakkam/info,223,Bakery,8am to 8pm(Mon-Sun),Not rated,-,-
Hotel Thiruvizha,400,South Indian,Chennai,Ambattur,https://www.zomato.com/chennai/hotel-thiruvizha-ambattur/info,223,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Paripurna Foods,200,Bakery,Chennai,Thiruvallur,https://www.zomato.com/chennai/paripurna-foods-thiruvallur/info,223,Bakery,6am to 9pm(Mon-Sun),Not rated,-,-
Biriyani Bunk,250,"Biryani,Fast Food",Chennai,Mogappair,https://www.zomato.com/chennai/biriyani-bunk-mogappair/info,223,none,"630pm to 1030pm(Mon,Tue,Wed,Fri,Sat),Closed...",Average,3.0,4
Bismi Briyani,450,"Biryani,Chinese",Chennai,Chromepet,https://www.zomato.com/chennai/bismi-briyani-chromepet/info,223,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,4
Juice King - Food Zone,150,Beverages,Chennai,Food Zone-- Kilpauk,https://www.zomato.com/chennai/juice-king-food-zone-chetpet/info,223,Food Court,7am to 1030pm(Mon-Sun),Not rated,-,-
Deepam Dosa Corner,300,South Indian,Chennai,Pallikaranai,https://www.zomato.com/chennai/deepam-dosa-corner-pallikaranai/info,223,Quick Bites,7am to 11pm(Mon-Sun),Not rated,-,-
Madras Royal,250,Biryani,Chennai,St. Thomas Mount,https://www.zomato.com/chennai/madras-royal-st-thomas-mount/info,223,Quick Bites,1130am to 10pm(Mon-Sun),Not rated,-,-
Chennai Chophouse,350,"BBQ,Chinese,Fast Food",Chennai,Taramani,https://www.zomato.com/chennai/chennai-chophouse-1-taramani/info,223,Quick Bites,1130am to 11pm(Mon-Sun),Not rated,-,-
Zuki & Co,150,"Street Food,Burger,Desserts",Chennai,OMR Food Street-- Injambakkam,https://www.zomato.com/chennai/zuki-co-injambakkam/info,223,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.1,4
New Nellai Pandian Hotel,800,"Chettinad,Chinese,Fast Food,Seafood,South Indian",Chennai,Poonamalle,https://www.zomato.com/chennai/new-nellai-pandian-hotel-1-poonamalle/info,219,Casual Dining,7am to 11pm(Mon-Sun),Not rated,-,-
Great Vaniyambadi Top Star Biriyani,450,"Biryani,Chinese",Chennai,Thiruvanmiyur,https://www.zomato.com/chennai/great-vaniyambadi-top-star-biriyani-thiruvanmiyur/info,219,Casual Dining,1130am to 1030pm(Mon-Sun),Average,3.1,4
Chandha Home Made Chats,150,"North Indian,Sandwich",Chennai,K.K. Nagar,https://www.zomato.com/chennai/chandha-home-made-chats-k-k-nagar/info,219,none,11am to 9pm(Mon-Sun),Not rated,-,-
Yummy O Jass,200,Bakery,Chennai,George Town,https://www.zomato.com/chennai/yummy-o-jass-george-town/info,219,none,"10am to 8pm(Mon-Sat),830am to 12midnight(Sun)",Not rated,-,-
Mathews Bakery And Sweets,350,"Bakery,Mithai",Chennai,Red Hills,https://www.zomato.com/chennai/mathews-bakery-and-sweets-red-hills/info,219,Bakery,830am to 1030pm(Mon-Sun),Average,3.1,4
Thaakif Biryani,400,Biryani,Chennai,Kodambakkam,https://www.zomato.com/chennai/thaakif-biryani-kodambakkam/info,219,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Praharna Pastry Point,300,Bakery,Chennai,Pallikaranai,https://www.zomato.com/chennai/praharna-pastry-point-pallikaranai/info,219,none,9am to 8pm(Mon-Sun),Average,3.1,4
Raghav's Lunch Box,300,South Indian,Chennai,K.K. Nagar,https://www.zomato.com/chennai/raghavs-lunch-box-k-k-nagar/info,219,none,8am to 11pm(Mon-Sun),Not rated,-,-
Mahe's Kitchen,350,"Biryani,Chettinad",Chennai,Porur,https://www.zomato.com/chennai/mahes-kitchen-porur/info,219,Quick Bites,1230pm to 10pm(Mon-Sun),Not rated,-,-
24x7 Hot Food Pvt Ltd,200,"South Indian,Biryani,North Indian",Chennai,T. Nagar,https://www.zomato.com/chennai/24x7-hot-food-pvt-ltd-t-nagar/info,219,Quick Bites,10am to 10pm(Mon-Sun),Not rated,-,-
Momo's,200,Momos,Chennai,T. Nagar,https://www.zomato.com/chennai/momos-1-t-nagar/info,219,none,12noon to 11pm(Mon-Sun),Not rated,-,-
Tamilnadu Special Sweets,200,Mithai,Chennai,Adambakkam,https://www.zomato.com/chennai/tamilnadu-special-sweets-adambakkam/info,219,Sweet Shop,10am to 10pm(Mon-Sun),Not rated,-,-
Asli Thali,400,"North Indian,South Indian,Desserts,Beverages",Chennai,Kanchipuram District,https://www.zomato.com/chennai/asli-thali-kanchipuram-district/info,219,Casual Dining,8am to 10pm(Mon-Sun),Not rated,-,-
Root2Leaf,250,"North Indian,South Indian",Chennai,Ramapuram,https://www.zomato.com/chennai/root2leaf-ramapuram/info,219,none,7am to 1030pm(Mon-Sun),Not rated,-,-
Naidu Hotel In Dhonnai Biriyani Hut,250,Biryani,Chennai,Nandanam,https://www.zomato.com/chennai/naidu-hotel-in-dhonnai-biriyani-hut-nandanam/info,219,Quick Bites,"12noon to 3pm,6pm to 10pm(Mon-Sat),12noon to ...",None,NEW,NEW
Nikki's Cake Shop,300,"Fast Food,Bakery",Chennai,Maduravoyal,https://www.zomato.com/chennai/nikkis-cake-shop-maduravoyal/info,236,Bakery,10am to 10pm(Mon-Sun),Not rated,-,-
Delkhush Delicacies,400,"Biryani,Parsi",Chennai,Royapuram,https://www.zomato.com/chennai/delkhush-delicacies-chennai/info,236,Quick Bites,9am to 9pm(Mon-Sun),Not rated,-,-
Madras Kitchen,200,South Indian,Chennai,Alwarpet,https://www.zomato.com/chennai/madras-kitchen-alwarpet/info,236,Quick Bites,1230pm to 330pm(Mon-Sun),Not rated,-,-
Hello Biriyani,300,Biryani,Chennai,Velachery,https://www.zomato.com/chennai/hello-biriyani-velachery/info,236,none,11am to 11pm(Mon-Sun),Not rated,-,-
Mr Fish,350,"Chettinad,Fast Food,South Indian",Chennai,Tambaram,https://www.zomato.com/chennai/mr-fish-tambaram/info,236,none,10am to 10pm(Mon-Sun),Not rated,-,-
AS Star Biryani,300,"North Indian,Chinese,Biryani",Chennai,Purasavakkam,https://www.zomato.com/chennai/as-star-biryani-purasavakkam/info,236,Quick Bites,12noon to 11pm(Mon-Sun),Not rated,-,-
Sri Sai Sastha Mess,200,South Indian,Chennai,Madipakkam,https://www.zomato.com/chennai/sri-sai-sastha-mess-madipakkam/info,236,Quick Bites,"7am to 230pm,545pm to 1030pm(Mon-Sun)",Not rated,-,-
Chennai Spicy Kitchen,150,South Indian,Chennai,Kolathur,https://www.zomato.com/chennai/chennai-spicy-kitchen-1-kolathur/info,236,Food Court,630pm to 1030pm(Mon-Sun),Not rated,-,-
Aroma,400,"Continental,South Indian",Chennai,Saidapet,https://www.zomato.com/chennai/aroma-saidapet/info,236,Casual Dining,5am to 10pm(Mon-Sun),Not rated,-,-
Happili Foods,100,Fast Food,Chennai,Virugambakkam,https://www.zomato.com/chennai/happili-foods-virugambakkam/info,236,Quick Bites,11am to 930pm(Mon-Sun),Not rated,-,-
Desi V Desi Twist,200,Fast Food,Chennai,Perambur,https://www.zomato.com/chennai/desi-v-desi-twist-perambur/info,236,none,12noon to 11pm(Mon-Sun),Not rated,-,-
Kutties Juice Corner,100,Juices,Chennai,Madipakkam,https://www.zomato.com/chennai/kutties-juice-corner-madipakkam/info,236,Beverage Shop,"9am to 10pm(Mon-Sat),Closed(Sun)",Not rated,-,-
Virundali,650,"Chettinad,South Indian,North Indian",Chennai,Kanchipuram District,https://www.zomato.com/chennai/virundali-kanchipuram-district/info,236,Casual Dining,"1030am to 330pm,630pm to 1030pm(Mon-Sun)",Not rated,-,-
500ML Juicebunk,150,"Beverages,Ice Cream",Chennai,Sowcarpet,https://www.zomato.com/chennai/500ml-juicebunk-sowcarpet/info,236,Beverage Shop,930am to 11pm(Mon-Sun),Not rated,-,-
Juice It,300,Beverages,Chennai,The Grand Mall-- Velachery,https://www.zomato.com/chennai/juice-it-velachery/info,236,Beverage Shop,11am to 11pm(Mon-Sun),Not rated,-,-
Alif Biriyani,400,"Biryani,North Indian,Chinese,Mughlai",Chennai,Tambaram,https://www.zomato.com/chennai/alif-biriyani-tambaram/info,269,Quick Bites,1130am to 1130pm(Mon-Sun),Good,3.6,150
Dudu Grill and Pub,2000,"Continental,Chinese,Mexican",Chennai,Akkarai,https://www.zomato.com/chennai/dudu-grill-and-pub-akkarai/info,269,Lounge,11am to 12midnight(Mon-Sun),Good,3.8,119
Kalpana Andhra Mess,300,Andhra,Chennai,Sholinganallur,https://www.zomato.com/chennai/kalpana-andhra-mess-sholinganallur/info,269,Mess,"11am to 3pm,6pm to 12midnight(Mon-Sun)",Good,3.7,138
Tasty Pizza,500,"Pizza,Fast Food",Chennai,Ramapuram,https://www.zomato.com/chennai/tasty-pizza-ramapuram/info,269,Quick Bites,11am to 1230AM(Mon-Sun),Average,2.9,144
Inhale Exhale - Dash@OMR,2200,"BBQ,Chinese,North Indian,Kebab",Chennai,Dash@OMR-- Old Mahabalipuram Road (OMR),https://www.zomato.com/chennai/inhale-exhale-dashomr-semmancheri/info,269,Casual Dining,5pm to 12midnight(Mon-Sun),Good,3.8,141
Hotel Sangam,350,"Biryani,North Indian,Chinese,Continental",Chennai,Triplicane,https://www.zomato.com/chennai/hotel-sangam-triplicane/info,269,Quick Bites,7am to 12midnight(Mon-Sun),Good,3.8,95
Madras Chettinadu Mess,300,"Chettinad,South Indian",Chennai,Anna Nagar West,https://www.zomato.com/chennai/madras-chettinadu-mess-anna-nagar-west/info,269,Mess,11am to 3am(Mon-Sun),Average,3.0,161
Grill & Barbeque,400,"Arabian,Chinese,North Indian,South Indian",Chennai,Perambur,https://www.zomato.com/chennai/grill-barbeque-perambur/info,269,Quick Bites,1130am to 1130pm(Mon-Sun),Average,3.3,150
Sian - The Gateway Hotel,1800,Chinese,Chennai,The Gateway Hotel: IT Expressway-- Sholinganallur,https://www.zomato.com/chennai/sian-the-gateway-hotel-sholinganallur/info,269,Fine Dining,"1230pm to 3pm,7pm to 1145pm(Mon-Sun)",Very Good,4.0,102
Daniel's Kitchen,600,"South Indian,North Indian,Beverages,Chinese",Chennai,Ramapuram,https://www.zomato.com/chennai/daniels-kitchen-ramapuram/info,269,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.5,123
The Patiala House,800,North Indian,Chennai,Chetpet,https://www.zomato.com/chennai/the-patiala-house-chetpet/info,269,Casual Dining,"1130am to 330pm,7pm to 1130pm(Mon-Sun)",None,NEW,NEW
Chennaiyil Madurai,500,"South Indian,Chettinad,Biryani,Chinese",Chennai,Royapettah,https://www.zomato.com/chennai/chennaiyil-madurai-royapettah/info,269,Casual Dining,"12noon to 4pm,630pm to 1130pm(Mon-Sun)",Good,3.5,89
Smoke Hub Barbeque,1500,"North Indian,BBQ",Chennai,Vadapalani,https://www.zomato.com/chennai/smoke-hub-barbeque-vadapalani/info,269,Casual Dining,"12noon to 4pm,7pm to 3am(Mon-Sun)",Good,3.8,73
Midnight Express,400,"Chettinad,North Indian",Chennai,Alwarpet,https://www.zomato.com/chennai/midnight-express-alwarpet/info,269,Quick Bites,7pm to 2am(Mon-Sun),Average,2.7,125
Sri Guru Fast Food,250,"Fast Food,North Indian",Chennai,Perambur,https://www.zomato.com/chennai/sri-guru-fast-food-perambur/info,269,Quick Bites,"1230pm to 330pm,530pm to 1130pm(Mon-Sun)",Average,3.1,127
Yum_Torte,400,Bakery,Chennai,Mogappair,https://www.zomato.com/chennai/yum-torte-mogappair/info,120,none,10am to 8pm(Mon-Sun),Not rated,-,-
Waffle Cart,150,Desserts,Chennai,Alwarpet,https://www.zomato.com/chennai/waffle-cart-alwarpet/info,120,Kiosk,4pm to 1030pm(Mon-Sun),Good,3.8,20
Hotel Arafa,450,"Chinese,Seafood,North Indian",Chennai,Arumbakkam,https://www.zomato.com/chennai/hotel-arafa-1-arumbakkam/info,120,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,34
Market Lane Madras,300,Bakery,Chennai,Kilpauk,https://www.zomato.com/chennai/market-lane-madras-kilpauk/info,120,none,11am to 7pm(Mon-Sun),Good,3.7,36
Mingx Kittchenz,300,"Chinese,North Indian",Chennai,Neelangarai,https://www.zomato.com/chennai/mingx-kittchenz-neelangarai/info,120,Quick Bites,"11am to 3pm,7pm to 11pm(Mon-Sun)",Average,3.2,28
Rakshanaa Family Restaurant,300,"South Indian,Chinese",Chennai,Kolathur,https://www.zomato.com/chennai/rakshanaa-family-restaurant-1-kolathur/info,120,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,22
Andhra Ruchulu,350,"Biryani,Andhra,South Indian",Chennai,Old Mahabalipuram Road (OMR),https://www.zomato.com/chennai/andhra-ruchulu-old-mahabalipuram-road-omr/info,120,Quick Bites,"11am to 11pm(Mon-Sat),Closed(Sun)",Good,3.5,38
Fire Wood Biryani,400,"Biryani,North Indian",Chennai,Velachery,https://www.zomato.com/chennai/fire-wood-biryani-velachery/info,120,Quick Bites,11am to 11pm(Mon-Sun),Average,3.0,22
Koluthi Podu,300,"North Indian,Kebab,Rolls",Chennai,Washermenpet,https://www.zomato.com/chennai/koluthi-podu-washermenpet/info,120,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Singapore Cuisines,350,"Singaporean,Ice Cream,Finger Food",Chennai,Navallur,https://www.zomato.com/chennai/singapore-cuisines-2-navallur/info,120,Quick Bites,"1230pm to 11pm(Mon,Tue,Wed,Fri,Sat,Sun)...",Average,2.8,17
Udipi Sri Ganesh Bhavan,150,South Indian,Chennai,RA Puram,https://www.zomato.com/chennai/udipi-sri-ganesh-bhavan-ra-puram/info,120,Quick Bites,6am to 10pm(Mon-Sun),Good,3.7,34
Asli Mumbai Chaat,150,"Street Food,Fast Food",Chennai,Thuraipakkam,https://www.zomato.com/chennai/asli-mumbai-chaat-1-thuraipakkam/info,120,Quick Bites,4pm to 10pm(Mon-Sun),Good,3.7,29
Rangoon - Atho Shop,200,"Burmese,Fast Food",Chennai,T. Nagar,https://www.zomato.com/chennai/rangoon-atho-shop-t-nagar/info,120,Quick Bites,530pm to 1030pm(Mon-Sun),Average,3.4,29
Gharka Khana Gharke Pass,300,North Indian,Chennai,Ramapuram,https://www.zomato.com/chennai/gharka-khana-gharke-pass-ramapuram/info,120,Quick Bites,1130am to 1130pm(Mon-Sun),Average,3.2,164
Arabian Shawarma,200,"Fast Food,Lebanese",Chennai,Mogappair,https://www.zomato.com/chennai/arabian-shawarma-mogappair/info,120,Quick Bites,11am to 11pm(Mon-Sun),Average,3.0,30
Howah Beach Kovalam,700,Kerala,Chennai,Kodambakkam,https://www.zomato.com/chennai/howah-beach-kovalam-kodambakkam/info,75,Quick Bites,"11am to 4pm,6pm to 11pm(Mon-Sun)",Average,3.4,66
The Sandwich Shop,250,"Sandwich,Beverages",Chennai,Adyar,https://www.zomato.com/chennai/the-sandwich-shop-adyar/info,75,Quick Bites,1130am to 10pm(Mon-Sun),Good,3.9,92
Dhaba Dhaba,600,Thai,Chennai,OMR Food Street-- Navallur,https://www.zomato.com/chennai/dhaba-dhaba-navallur/info,75,Quick Bites,"11am to 330pm,530pm to 11pm(Mon-Sun)",Good,3.6,67
Ramzan Biriyani,300,Biryani,Chennai,Ambattur,https://www.zomato.com/chennai/ramzan-biriyani-ambattur/info,75,Casual Dining,11am to 11pm(Mon-Sun),Average,3.1,80
Nawabs,300,"North Indian,Chinese,Fast Food",Chennai,Anna Nagar East,https://www.zomato.com/chennai/nawabs-anna-nagar-east/info,75,Quick Bites,11am to 10pm(Mon-Sun),Good,3.8,100
Nayeem Biryani Stall,250,"Biryani,Fast Food",Chennai,Vepery,https://www.zomato.com/chennai/nayeem-biryani-stall-vepery/info,75,Quick Bites,1130am to 9pm(Mon-Sun),Good,3.6,90
Student's Burger,300,"Fast Food,Beverages,Italian,Burger",Chennai,Neelangarai,https://www.zomato.com/chennai/students-burger-neelangarai/info,75,Quick Bites,1pm to 10pm(Mon-Sun),Good,3.5,90
Fanar Restaurant,400,"North Indian,Seafood,Chinese",Chennai,Vepery,https://www.zomato.com/chennai/fanar-restaurant-vepery/info,75,Quick Bites,11am to 11pm(Mon-Sun),Average,2.7,123
Kebab It,400,Fast Food,Chennai,Besant Nagar,https://www.zomato.com/chennai/kebab-it-besant-nagar/info,75,Quick Bites,4pm to 1130pm(Mon-Sun),Good,3.9,159
Box It,300,Chinese,Chennai,Vadapalani,https://www.zomato.com/chennai/box-it-vadapalani/info,75,none,12noon to 11pm(Mon-Sun),Good,3.8,69
Hotel City Gate,550,"North Indian,Chinese,BBQ,Mughlai",Chennai,Thiruvanmiyur,https://www.zomato.com/chennai/hotel-city-gate-thiruvanmiyur/info,75,Quick Bites,7am to 12midnight(Mon-Sun),Average,2.6,175
Madurai Pandias,300,"South Indian,Biryani",Chennai,Besant Nagar,https://www.zomato.com/chennai/madurai-pandias-besant-nagar/info,75,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.7,80
Something Fishy,300,"South Indian,Seafood",Chennai,Mylapore,https://www.zomato.com/chennai/something-fishy-mylapore/info,75,none,"1130am to 230pm,630pm to 10pm(Mon-Sun)",Good,3.9,90
Kiran Shree Sagar,250,"North Indian,Chinese",Chennai,Karapakkam,https://www.zomato.com/chennai/kiran-shree-sagar-karapakkam/info,75,Quick Bites,"11am to 4pm,7pm to 10pm(Mon-Sat),Closed(Sun)",Good,3.8,101
Cane Twist,200,"Juices,Beverages",Chennai,Velachery,https://www.zomato.com/chennai/cane-twist-velachery/info,75,Beverage Shop,9am to 10pm(Mon-Sun),Very Good,4.0,70
City Mess,250,South Indian,Chennai,Madhavaram,https://www.zomato.com/chennai/city-mess-madhavaram/info,232,Mess,6am to 8pm(Mon-Sun),Not rated,-,-
Apna Khaana,150,North Indian,Chennai,Tiruvottiyur,https://www.zomato.com/chennai/apna-khaana-tiruvottiyur/info,232,none,11am to 10pm(Mon-Sun),Not rated,-,-
The Cake Delight,400,"Fast Food,Desserts,Bakery",Chennai,K.K. Nagar,https://www.zomato.com/chennai/the-cake-delight-k-k-nagar/info,232,Bakery,11am to 10pm(Mon-Sun),Not rated,-,-
Saroja Coffee,100,"Tea,Coffee,Beverages",Chennai,Chengalpattu,https://www.zomato.com/chennai/saroja-coffee-chengalpattu/info,232,Beverage Shop,6am to 730pm(Mon-Sun),Not rated,-,-
Jrk Fresh Juice & Chaats,200,"Fast Food,Healthy Food,Beverages",Chennai,Sowcarpet,https://www.zomato.com/chennai/jrk-fresh-juice-chaats-sowcarpet/info,232,Beverage Shop,11am to 11pm(Mon-Sun),None,NEW,NEW
Sri Krishna Bhavan,200,"South Indian,Chinese,North Indian",Chennai,Padur,https://www.zomato.com/chennai/sri-krishna-bhavan-3-padur/info,232,Quick Bites,7am to 11pm(Mon-Sun),None,NEW,NEW
Zum Zum Super Cooldrinks & Snacks,100,Beverages,Chennai,Red Hills,https://www.zomato.com/chennai/zum-zum-super-cooldrinks-snacks-red-hills/info,232,Beverage Shop,11am to 11pm(Mon-Sun),Not rated,-,-
Sri Sai Bhavan,200,South Indian,Chennai,K.K. Nagar,https://www.zomato.com/chennai/sri-sai-bhavan-k-k-nagar/info,232,Quick Bites,8am to 10pm(Mon-Sun),None,NEW,NEW
Kings Kitchen,400,"North Indian,Chinese",Chennai,Washermenpet,https://www.zomato.com/chennai/kings-kitchen-washermenpet/info,232,none,630pm to 11pm(Mon-Sun),None,NEW,NEW
Sri Lala Sweets,300,"Mithai,Street Food",Chennai,Chengalpattu,https://www.zomato.com/chennai/sri-lala-sweets-chengalpattu/info,232,Sweet Shop,10am to 10pm(Mon-Sun),Not rated,-,-
Sri Sai Bhavan,300,"South Indian,North Indian,Street Food",Chennai,Nungambakkam,https://www.zomato.com/chennai/sri-sai-bhavan-nungambakkam/info,232,Quick Bites,630am to 1030pm(Mon-Sun),Not rated,-,-
Chamber Of Sugar,0,"Desserts,Fast Food",Chennai,Adyar,https://www.zomato.com/chennai/chamber-of-sugar-adyar/info,232,Café,"Closed(Mon),1230pm to 8pm(Tue-Sun)",None,NEW,NEW
Annai Chettinadu Mess,150,Chettinad,Chennai,T. Nagar,https://www.zomato.com/chennai/annai-chettinadu-mess-t-nagar/info,232,Mess,7am to 11pm(Mon-Sun),Not rated,-,-
Tandoori Spot,300,"Arabian,BBQ,Biryani,Chettinad,Chinese",Chennai,Ashok Nagar,https://www.zomato.com/chennai/tandoori-spot-ashok-nagar/info,232,Quick Bites,"1130am to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
Desire Chats,300,North Indian,Chennai,Valasaravakkam,https://www.zomato.com/chennai/desire-chats-valasaravakkam/info,232,Quick Bites,6am to 11pm(Mon-Sun),Not rated,-,-
Sandwich House,200,"Burger,Beverages,Fast Food,Sandwich",Chennai,Thiruvanmiyur,https://www.zomato.com/chennai/sandwich-house-thiruvanmiyur/info,108,Quick Bites,9am to 11pm(Mon-Sun),Average,3.4,45
Al Elaf Arabian Restaurant,300,"Arabian,Biryani",Chennai,Royapettah,https://www.zomato.com/chennai/al-elaf-arabian-restaurant-royapettah/info,108,Quick Bites,10am to 9pm(Mon-Sun),Good,3.7,50
Sandwitch,200,"Sandwich,Burger,Rolls,Fast Food",Chennai,Choolaimedu,https://www.zomato.com/chennai/sandwitch-choolaimedu/info,108,Quick Bites,10am to 10pm(Mon-Sun),Good,3.5,47
Hot Drum Biriyani,400,"Biryani,North Indian,Chinese",Chennai,Kodambakkam,https://www.zomato.com/chennai/hot-drum-biriyani-kodambakkam/info,108,Quick Bites,11am to 1030pm(Mon-Sun),Average,2.7,36
Frootster,300,"Fast Food,Sandwich,Beverages",Chennai,Abhiramapuram,https://www.zomato.com/chennai/frootster-abhiramapuram/info,108,none,10am to 10pm(Mon-Sun),Good,3.6,35
