NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Wheat Hotel,400,"North Indian,South Indian,Biryani",Chennai,Triplicane,https://www.zomato.com/chennai/wheat-hotel-triplicane/info,183,Casual Dining,11am to 11pm(Mon-Sun),Average,3.3,12
Sri Vijaya Durga Andhra Mess,300,Andhra,Chennai,Aminijikarai,https://www.zomato.com/chennai/sri-vijaya-durga-andhra-mess-aminijikarai/info,183,Quick Bites,"12noon to 330pm,7pm to 10pm(Mon-Sun)",Average,3.0,8
AR Rahman Restaurant,250,"North Indian,South Indian",Chennai,Chromepet,https://www.zomato.com/chennai/ar-rahman-restaurant-chromepet/info,183,Quick Bites,11am to 11pm(Mon-Sun),Average,3.1,5
Silver Spoon Restaurant,200,"Chinese,Fast Food,North Indian,South Indian",Chennai,Taramani,https://www.zomato.com/chennai/silver-spoon-restaurant-taramani/info,183,Food Court,1130am to 11pm(Mon-Sun),Not rated,-,-
Ricky's Handcrafted Cookies,300,"Bakery,Desserts",Chennai,Nungambakkam,https://www.zomato.com/chennai/rickys-handcrafted-cookies-nungambakkam/info,183,none,8am to 9pm(Mon-Sun),None,NEW,NEW
Chiffons,300,Bakery,Chennai,Egatoor,https://www.zomato.com/chennai/chiffons-egatoor/info,183,none,9am to 7pm(Mon-Sun),Good,3.5,11
Cosmoba,250,"Chinese,North Indian,Fast Food",Chennai,Besant Nagar,https://www.zomato.com/chennai/cosmoba-2-besant-nagar/info,183,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Hotel Mahalakshmi,300,"South Indian,Chinese,North Indian",Chennai,Porur,https://www.zomato.com/chennai/hotel-mahalakshmi-porur/info,225,Quick Bites,630am to 1030pm(Mon-Sun),Not rated,-,-
Highway Burger,300,"Burger,Sandwich,Fast Food",Chennai,Pallavaram,https://www.zomato.com/chennai/highway-burger-pallavaram/info,225,Quick Bites,12noon to 1030pm(Mon-Sun),Not rated,-,-
North Chappathi Veg Restaurant,300,North Indian,Chennai,Selaiyur,https://www.zomato.com/chennai/north-chappathi-veg-restaurant-selaiyur/info,225,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Greenmeal,200,"South Indian,North Indian",Chennai,Chetpet,https://www.zomato.com/chennai/greenmeal-chetpet/info,225,none,12noon to 3pm(Mon-Sun),Not rated,-,-
Momos & Snacks,150,Momos,Chennai,Arumbakkam,https://www.zomato.com/chennai/momos-snacks-arumbakkam/info,225,none,5pm to 930pm(Mon-Sun),Not rated,-,-
Try Me,300,Fast Food,Chennai,Mogappair,https://www.zomato.com/chennai/try-me-mogappair/info,225,Quick Bites,1130am to 10pm(Mon-Sun),Not rated,-,-
